,GO_term,pfam_id,GO_id,GO_level,count,GO_idx
2049,thiamine pyrophosphate binding,PF00205,GO:0030976,function,3,93
414,amino acid metabolic process,PF00208,GO:0006520,process,8,94
841,ferric iron binding,PF00210,GO:0008199,function,3,95
678,cyclic nucleotide biosynthetic process,PF00211,GO:0009190,process,1,96
1714,"proton-transporting ATP synthase activity, rotational mechanism",PF00213,GO:0046933,function,3,97
1392,orotidine-5'-phosphate decarboxylase activity,PF00215,GO:0004590,function,1,98
1984,structural constituent of chromatin,PF00216,GO:0030527,function,4,99
2094,"transferase activity, transferring phosphorus-containing groups",PF00217,GO:0016772,function,7,100
1004,indole-3-glycerol-phosphate synthase activity,PF00218,GO:0004425,function,1,101
2057,thylakoid,PF00223,GO:0009579,component,2,102
1738,pyruvate kinase activity,PF00224,GO:0004743,function,1,103
1186,microtubule motor activity,PF00225,GO:0003777,function,1,104
1621,proteasome core complex,PF00227,GO:0005839,component,1,105
2128,tumor necrosis factor receptor binding,PF00229,GO:0005164,function,1,106
605,channel activity,PF00230,GO:0015267,function,3,107
1716,"proton-transporting ATP synthase complex, catalytic core F(1)",PF00231,GO:0045261,component,1,108
991,"hydrolase activity, hydrolyzing O-glycosyl compounds",PF00232,GO:0004553,function,37,109
18,"3',5'-cyclic-nucleotide phosphodiesterase activity",PF00233,GO:0004114,function,2,110
357,actin binding,PF00235,GO:0003779,function,13,111
127,DNA strand exchange activity,PF00239,GO:0000150,function,4,112
141,DNA-directed DNA polymerase activity,PF00242,GO:0003887,function,20,113
1934,signaling receptor binding,PF00243,GO:0005102,function,8,114
1472,phosphatase activity,PF00245,GO:0016791,function,8,115
1160,metallocarboxypeptidase activity,PF00246,GO:0004181,function,2,116
1452,peptidyl-prolyl cis-trans isomerase activity,PF00254,GO:0003755,function,4,117
901,glutathione peroxidase activity,PF00255,GO:0004602,function,1,118
1862,response to water,PF00257,GO:0009415,process,1,119
157,FMN binding,PF00258,GO:0010181,function,8,120
1962,sperm DNA condensation,PF00260,GO:0035092,process,3,121
2149,unfolded protein binding,PF00262,GO:0051082,function,8,122
1673,protein secretion,PF00263,GO:0009306,process,11,123
2060,thymidine kinase activity,PF00265,GO:0004797,function,3,124
1256,monoatomic ion transmembrane transport,PF00267,GO:0034220,process,3,125
734,deoxyribonucleotide biosynthetic process,PF00268,GO:0009263,process,1,126
758,double-stranded DNA binding,PF00269,GO:0003690,function,5,127
433,antibacterial humoral response,PF00272,GO:0019731,process,2,128
827,extracellular space,PF00273,GO:0005615,component,21,129
856,fructose-bisphosphate aldolase activity,PF00274,GO:0004332,function,1,130
2093,"transferase activity, transferring alkyl or aryl (other than methyl) groups",PF00275,GO:0016765,function,5,131
551,catalytic activity,PF00278,GO:0003824,function,50,132
1863,response to wounding,PF00280,GO:0009611,process,1,133
538,carbon-carbon lyase activity,PF00282,GO:0016830,function,1,134
1521,photosynthesis,PF00283,GO:0015979,process,41,135
1529,photosystem II,PF00284,GO:0009523,component,19,136
374,"acyltransferase activity, acyl groups converted into alkyl on transfer",PF00285,GO:0046912,function,1,137
2176,viral capsid,PF00286,GO:0019028,component,65,138
1960,sodium:potassium-exchanging ATPase complex,PF00287,GO:0005890,component,1,139
2125,tryptophan synthase activity,PF00290,GO:0004834,function,1,140
1554,polygalacturonase activity,PF00295,GO:0004650,function,1,141
1046,iron ion binding,PF00301,GO:0005506,function,22,142
616,chloramphenicol O-acetyltransferase activity,PF00302,GO:0008811,function,1,143
1412,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",PF00305,GO:0016702,function,5,144
1712,proton motive force-driven ATP synthesis,PF00306,GO:0015986,process,18,145
137,DNA-binding transcription activator activity,PF00309,GO:0001216,function,2,146
1495,phosphoenolpyruvate carboxylase activity,PF00311,GO:0008964,function,2,147
1880,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",PF00317,GO:0004748,function,2,148
722,defense response,PF00321,GO:0006952,process,23,149
1833,regulation of vasoconstriction,PF00322,GO:0019229,process,1,150
2110,transmembrane transport,PF00324,GO:0055085,process,55,151
230,NADH dehydrogenase (ubiquinone) activity,PF00329,GO:0008137,function,4,152
1006,inflammatory response,PF00340,GO:0006954,process,2,153
884,glucose-6-phosphate isomerase activity,PF00342,GO:0004347,function,3,154
913,glycogen phosphorylase activity,PF00343,GO:0008184,function,1,155
1685,protein transport,PF00344,GO:0015031,process,20,156
576,cell wall organization,PF00345,GO:0071555,process,2,157
1400,"oxidoreductase activity, acting on NAD(P)H",PF00346,GO:0016651,function,2,158
1054,isoprenoid biosynthetic process,PF00348,GO:0008299,process,1,159
1517,"phosphotransferase activity, alcohol group as acceptor",PF00349,GO:0016773,function,8,160
1409,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",PF00351,GO:0016714,function,1,161
144,DNA-templated transcription initiation,PF00352,GO:0006352,process,13,162
7,"2 iron, 2 sulfur cluster binding",PF00355,GO:0051537,function,5,163
1496,phosphoenolpyruvate-dependent sugar phosphotransferase system,PF00358,GO:0009401,process,15,164
737,detection of visible light,PF00360,GO:0009584,process,1,165
41,6-phosphofructokinase activity,PF00365,GO:0003872,function,1,166
1694,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,PF00367,GO:0008982,function,8,167
995,hydroxymethylglutaryl-CoA reductase (NADPH) activity,PF00368,GO:0004420,function,1,168
1063,kinase activity,PF00370,GO:0016301,function,13,169
1309,nickel cation binding,PF00374,GO:0016151,function,7,170
2006,symporter activity,PF00375,GO:0015293,function,1,171
1644,protein homooligomerization,PF00377,GO:0051260,process,3,172
304,TBP-class protein binding,PF00382,GO:0017025,function,1,173
1487,phosphatidylinositol phospholipase C activity,PF00387,GO:0004435,function,2,174
1419,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",PF00389,GO:0016616,function,10,175
1124,malic enzyme activity,PF00390,GO:0004470,function,1,176
1516,phosphorylation,PF00391,GO:0016310,process,6,177
1434,pentose-phosphate shunt,PF00393,GO:0006098,process,1,178
1983,structural constituent of cell wall,PF00399,GO:0005199,function,4,179
1560,polysaccharide catabolic process,PF00404,GO:0000272,process,4,180
821,extracellular matrix,PF00413,GO:0031012,component,2,181
2127,tubulin binding,PF00418,GO:0015631,function,5,182
1526,photosystem,PF00421,GO:0009521,component,1,183
973,host cell surface receptor binding,PF00423,GO:0046789,function,6,184
970,host cell nucleus,PF00424,GO:0042025,component,7,185
2184,viral life cycle,PF00426,GO:0019058,process,14,186
1535,phycobilisome,PF00427,GO:0030089,component,5,187
1668,protein phosphorylation,PF00433,GO:0006468,process,16,188
1941,single-stranded DNA binding,PF00436,GO:0003697,function,14,189
282,S-adenosylmethionine biosynthetic process,PF00438,GO:0006556,process,3,190
1413,"oxidoreductase activity, acting on the CH-CH group of donors",PF00441,GO:0016627,function,6,191
1633,protein deubiquitination,PF00443,GO:0016579,process,3,192
1877,ribonuclease T2 activity,PF00445,GO:0033897,function,1,193
1263,multicellular organism development,PF00446,GO:0007275,process,19,194
295,SRP-dependent cotranslational protein targeting to membrane,PF00448,GO:0006614,process,8,195
1912,serine-type carboxypeptidase activity,PF00450,GO:0004185,function,3,196
1045,ion channel inhibitor activity,PF00451,GO:0008200,function,7,197
1052,isocitrate lyase activity,PF00463,GO:0004451,function,1,198
2103,translation release factor activity,PF00472,GO:0003747,function,1,199
999,imidazoleglycerol-phosphate dehydratase activity,PF00475,GO:0004424,function,1,200
882,glucose metabolic process,PF00479,GO:0006006,process,2,201
499,biosynthetic process,PF00483,GO:0009058,process,18,202
545,carbonate dehydratase activity,PF00484,GO:0004089,function,1,203
1086,lipid metabolic process,PF00487,GO:0006629,process,14,204
1193,mismatched DNA binding,PF00488,GO:0030983,function,6,205
302,T-helper 17 cell lineage commitment,PF00489,GO:0072540,process,1,206
1566,porphobilinogen synthase activity,PF00490,GO:0004655,function,1,207
103,DNA duplex unwinding,PF00493,GO:0032508,process,1,208
164,G-protein beta/gamma-subunit complex binding,PF00503,GO:0031683,function,1,209
1770,regulation of DNA replication,PF00508,GO:0006275,process,7,210
1510,phosphorelay sensor kinase activity,PF00512,GO:0000155,function,10,211
2179,viral envelope,PF00516,GO:0019031,component,33,212
105,DNA helicase activity,PF00519,GO:0003678,function,8,213
1255,monoatomic ion channel activity,PF00520,GO:0005216,function,3,214
864,fusion of virus membrane with host plasma membrane,PF00523,GO:0019064,process,9,215
981,"hydrolase activity, acting on acid anhydrides",PF00524,GO:0016817,function,13,216
1988,structural constituent of eye lens,PF00525,GO:0005212,function,1,217
917,glycosyltransferase activity,PF00534,GO:0016757,function,16,218
1363,nucleosome assembly,PF00538,GO:0006334,process,2,219
272,RNA-binding transcription regulator activity,PF00539,GO:0001070,function,1,220
2197,virion attachment to host cell,PF00541,GO:0019062,process,5,221
1810,regulation of nitrogen utilization,PF00543,GO:0006808,process,1,222
251,RNA endonuclease activity,PF00545,GO:0004521,function,6,223
2150,urea catabolic process,PF00547,GO:0043419,process,2,224
686,cysteine-type endopeptidase activity,PF00548,GO:0004197,function,28,225
1541,plasma membrane light-harvesting complex,PF00556,GO:0030077,component,3,226
1253,monoatomic cation channel activity,PF00558,GO:0005261,function,1,227
140,DNA-directed 5'-3' RNA polymerase activity,PF00562,GO:0003899,function,31,228
2218,zinc ion binding,PF00569,GO:0008270,function,101,229
844,fimbrial usher porin activity,PF00577,GO:0015473,function,1,230
437,antioxidant activity,PF00578,GO:0016209,function,2,231
1681,protein targeting,PF00584,GO:0006605,process,3,232
259,RNA methyltransferase activity,PF00588,GO:0008173,function,2,233
106,DNA integration,PF00589,GO:0015074,process,12,234
969,host cell membrane,PF00599,GO:0033644,component,6,235
811,exit of virus from host cell nucleus through nuclear pore,PF00601,GO:0039675,process,1,236
2174,viral RNA genome replication,PF00602,GO:0039694,process,4,237
2075,transcription cis-regulatory region binding,PF00605,GO:0000976,function,3,238
60,ATP-dependent diacylglycerol kinase activity,PF00609,GO:0004143,function,1,239
1034,intracellular signal transduction,PF00610,GO:0035556,process,8,240
1774,regulation of GTPase activity,PF00616,GO:0043087,process,2,241
1947,small GTPase mediated signal transduction,PF00617,GO:0007264,process,3,242
1779,regulation of apoptotic process,PF00619,GO:0042981,process,5,243
924,guanyl-nucleotide exchange factor activity,PF00621,GO:0005085,function,8,244
847,flocculation,PF00624,GO:0000128,process,1,245
163,G protein-coupled receptor signaling pathway,PF00631,GO:0007186,process,16,246
2146,ubiquitin-protein transferase activity,PF00632,GO:0004842,function,8,247
1874,ribonuclease III activity,PF00636,GO:0004525,function,2,248
2169,vesicle-mediated transport,PF00637,GO:0016192,process,22,249
1036,intracellular transport,PF00638,GO:0046907,process,1,250
224,NAD+ ADP-ribosyltransferase activity,PF00644,GO:0003950,function,3,251
2104,translational elongation,PF00647,GO:0006414,process,4,252
521,calcium-dependent cysteine-type endopeptidase activity,PF00648,GO:0004198,function,1,253
2207,voltage-gated chloride channel activity,PF00654,GO:0005247,function,1,254
988,"hydrolase activity, acting on ester bonds",PF00657,GO:0016788,function,15,255
2196,virion assembly,PF00661,GO:0019068,process,8,256
44,ABC-type transporter activity,PF00664,GO:0140359,function,7,257
1422,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",PF00676,GO:0016624,function,1,258
273,RNA-dependent RNA polymerase activity,PF00680,GO:0003968,function,34,259
710,cytoskeleton,PF00681,GO:0005856,component,6,260
927,heat shock protein binding,PF00684,GO:0031072,function,1,261
1999,sulfotransferase activity,PF00685,GO:0008146,function,2,262
1978,starch binding,PF00686,GO:2001070,function,4,263
308,TMP biosynthetic process,PF00693,GO:0006230,process,1,264
2189,viral process,PF00695,GO:0016032,process,29,265
1514,phosphoribosylanthranilate isomerase activity,PF00697,GO:0004640,function,1,266
2153,urease complex,PF00699,GO:0035550,component,1,267
1095,lyase activity,PF00701,GO:0016829,function,20,268
2105,translational initiation,PF00707,GO:0006413,process,9,269
381,adenylosuccinate synthase activity,PF00709,GO:0004019,function,1,270
113,DNA polymerase III complex,PF00712,GO:0009360,component,5,271
2129,type II interferon receptor binding,PF00714,GO:0005133,function,1,272
1019,interleukin-2 receptor binding,PF00715,GO:0005134,function,1,273
1477,phosphate-containing compound metabolic process,PF00719,GO:0006796,process,1,274
836,fatty acid metabolic process,PF00725,GO:0006631,process,5,275
1021,interleukin-4 receptor binding,PF00727,GO:0005136,function,1,276
484,base-excision repair,PF00730,GO:0006284,process,5,277
0,'de novo' IMP biosynthetic process,PF00731,GO:0006189,process,1,278
1399,"oxidoreductase activity, acting on CH-OH group of donors",PF00732,GO:0016614,function,3,279
459,asparagine synthase (glutamine-hydrolyzing) activity,PF00733,GO:0004066,function,1,280
593,cellulose binding,PF00734,GO:0030248,function,2,281
1474,phosphate ion binding,PF00737,GO:0042301,function,1,282
2181,viral genome replication,PF00739,GO:0019079,process,13,283
2167,vesicle membrane,PF00741,GO:0012506,component,3,284
215,"N,N-dimethylaniline monooxygenase activity",PF00743,GO:0004499,function,1,285
899,glutamyl-tRNA reductase activity,PF00745,GO:0008883,function,2,286
2017,tRNA aminoacylation,PF00749,GO:0043039,process,3,287
1345,nuclease activity,PF00752,GO:0004518,function,9,288
930,heme biosynthetic process,PF00762,GO:0006783,process,1,289
1175,methylenetetrahydrofolate dehydrogenase (NADP+) activity,PF00763,GO:0004488,function,2,290
2092,transferase activity,PF00765,GO:0016740,function,18,291
1910,serine-type D-Ala-D-Ala carboxypeptidase activity,PF00768,GO:0009002,function,2,292
261,RNA nuclease activity,PF00773,GO:0004540,function,7,293
1921,sialyltransferase activity,PF00777,GO:0008373,function,1,294
1689,protein tyrosine/serine/threonine phosphatase activity,PF00782,GO:0008138,function,1,295
1485,phosphatidylinositol binding,PF00787,GO:0035091,function,3,296
1320,nitrogen compound metabolic process,PF00795,GO:0006807,process,10,297
1527,photosystem I,PF00796,GO:0009522,component,10,298
349,acetyltransferase activity,PF00797,GO:0016407,function,3,299
120,DNA replication,PF00799,GO:0006260,process,57,300
199,L-phenylalanine biosynthetic process,PF00800,GO:0009094,process,1,301
2200,virion membrane,PF00802,GO:0055036,component,7,302
2112,"transport of virus in host, cell to cell",PF00803,GO:0046740,process,6,303
1725,pteridine-containing compound metabolic process,PF00809,GO:0042558,process,1,304
1672,protein retention in ER lumen,PF00810,GO:0006621,process,1,305
580,cell-matrix adhesion,PF00811,GO:0007160,process,2,306
119,DNA repair,PF00817,GO:0006281,process,37,307
567,cell outer membrane,PF00818,GO:0009279,component,13,308
796,envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism,PF00819,GO:0044564,process,1,309
1494,phosphoenolpyruvate carboxykinase activity,PF00821,GO:0004611,function,2,310
1875,ribonuclease P activity,PF00825,GO:0004526,function,1,311
1991,structural constituent of ribosome,PF00830,GO:0003735,function,97,312
1754,"racemase and epimerase activity, acting on carbohydrates and derivatives",PF00834,GO:0016857,function,2,313
1805,regulation of microtubule polymerization or depolymerization,PF00836,GO:0031110,process,1,314
2062,thyroxine 5'-deiodinase activity,PF00837,GO:0004800,function,1,315
1966,spermatid development,PF00841,GO:0007286,process,1,316
2185,viral nucleocapsid,PF00846,GO:0019013,component,17,317
583,cellular metabolic process,PF00848,GO:0044237,process,3,318
260,RNA modification,PF00849,GO:0009451,process,5,319
859,fucosyltransferase activity,PF00852,GO:0008417,function,2,320
1955,sodium channel activity,PF00858,GO:0005272,function,1,321
1996,sucrose metabolic process,PF00862,GO:0005985,process,1,322
1393,ossification,PF00865,GO:0001503,process,4,323
581,cellular aromatic compound metabolic process,PF00866,GO:0006725,process,6,324
1439,peptide cross-linking,PF00868,GO:0018149,process,2,325
1518,"phosphotransferase activity, carboxyl group as acceptor",PF00871,GO:0016774,function,1,326
2113,transposase activity,PF00872,GO:0004803,function,10,327
1099,lysosomal transport,PF00878,GO:0007041,process,1,328
1159,metalloaminopeptidase activity,PF00883,GO:0070006,function,3,329
1871,riboflavin synthase complex,PF00885,GO:0009349,component,1,330
837,fatty-acyl-CoA binding,PF00887,GO:0000062,function,2,331
2143,ubiquitin protein ligase binding,PF00888,GO:0031625,function,1,332
240,O-methyltransferase activity,PF00891,GO:0008171,function,2,333
1217,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",PF00895,GO:0000276,component,8,334
1057,keratinization,PF00904,GO:0031424,process,1,335
1433,penicillin binding,PF00905,GO:0008658,function,2,336
1569,positive regulation of DNA-templated transcription,PF00907,GO:0045893,process,18,337
716,"dTDP-4-dehydrorhamnose 3,5-epimerase activity",PF00908,GO:0008830,function,1,338
424,ammonium transmembrane transport,PF00909,GO:0072488,process,1,339
254,RNA helicase activity,PF00910,GO:0003724,function,4,340
808,evasion of host immune response,PF00913,GO:0042783,process,1,341
1177,methylthiotransferase activity,PF00919,GO:0035596,function,1,342
979,hydro-lyase activity,PF00920,GO:0016836,function,5,343
21,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",PF00926,GO:0008686,function,1,344
1710,proteolysis,PF00930,GO:0006508,process,84,345
45,ADP binding,PF00931,GO:0043531,function,1,346
472,bacterial microcompartment,PF00936,GO:0031469,component,2,347
42,7-methylguanosine mRNA capping,PF00946,GO:0006370,process,3,348
1436,peptidase activity,PF00947,GO:0008233,function,18,349
58,ATP-binding cassette (ABC) transporter complex,PF00950,GO:0043190,component,4,350
1519,"phosphotransferase activity, for other substituted phosphate groups",PF00953,GO:0016780,function,2,351
1761,recognition of pollen,PF00954,GO:0048544,process,1,352
1252,monoatomic anion transport,PF00955,GO:0006820,process,2,353
168,GMP biosynthetic process,PF00958,GO:0006177,process,1,354
574,cell wall macromolecule catabolic process,PF00959,GO:0016998,process,3,355
780,endonuclease activity,PF00961,GO:0004519,function,25,356
721,deaminase activity,PF00962,GO:0019239,function,1,357
1163,metalloendopeptidase inhibitor activity,PF00965,GO:0008191,function,3,358
726,defense response to fungus,PF00967,GO:0050832,process,5,359
208,MHC class II protein complex,PF00969,GO:0042613,component,2,360
945,histidine biosynthetic process,PF00977,GO:0000105,process,6,361
2115,trehalose biosynthetic process,PF00982,GO:0005992,process,2,362
556,cell adhesion,PF00985,GO:0007155,process,28,363
2123,troponin complex,PF00992,GO:0005861,component,1,364
166,GDP-dissociation inhibitor activity,PF00996,GO:0005092,function,1,365
438,antiporter activity,PF00999,GO:0015297,function,3,366
1879,ribonucleoside triphosphate phosphatase activity,PF01001,GO:0017111,function,10,367
2199,virion component,PF01002,GO:0044423,component,16,368
760,double-stranded RNA binding,PF01005,GO:0003725,function,3,369
705,cytoplasm,PF01021,GO:0005737,component,103,370
1564,pore-forming activity,PF01024,GO:0140911,function,2,371
379,adenyl-nucleotide exchange factor activity,PF01025,GO:0000774,function,2,372
130,"DNA topoisomerase type I (single strand cut, ATP-independent) activity",PF01028,GO:0003917,function,3,373
1646,protein import,PF01043,GO:0017038,process,3,374
361,actin filament binding,PF01044,GO:0051015,function,4,375
1357,nucleoside metabolic process,PF01048,GO:0009116,process,1,376
1561,polysaccharide metabolic process,PF01050,GO:0005976,process,1,377
122,DNA replication initiation,PF01051,GO:0006270,process,5,378
2114,transsulfuration,PF01053,GO:0019346,process,1,379
570,cell surface,PF01060,GO:0009986,component,3,380
617,chloride channel activity,PF01062,GO:0005254,function,1,381
2107,transmembrane receptor protein serine/threonine kinase activity,PF01064,GO:0004675,function,2,382
107,DNA ligase (ATP) activity,PF01068,GO:0003910,function,4,383
22,3-beta-hydroxy-delta5-steroid dehydrogenase activity,PF01073,GO:0003854,function,1,384
406,alpha-mannosidase activity,PF01074,GO:0004559,function,3,385
118,DNA recombination,PF01076,GO:0006310,process,25,386
1628,protein autoprocessing,PF01079,GO:0016540,process,2,387
1670,protein processing,PF01080,GO:0016485,process,2,388
1408,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen",PF01082,GO:0016715,function,1,389
579,cell-cell signaling,PF01085,GO:0007267,process,1,390
649,clathrin coat of coated pit,PF01086,GO:0030132,component,2,391
324,UDP-glucose:hexose-1-phosphate uridylyltransferase activity,PF01087,GO:0008108,function,2,392
685,cysteine-type deubiquitinase activity,PF01088,GO:0004843,function,5,393
575,cell wall modification,PF01095,GO:0042545,process,1,394
563,cell division,PF01098,GO:0051301,process,9,395
631,chromatin,PF01101,GO:0000785,component,1,396
1394,outer membrane,PF01103,GO:0019867,component,22,397
1049,iron-sulfur cluster assembly,PF01106,GO:0016226,process,5,398
921,granulocyte macrophage colony-stimulating factor receptor binding,PF01109,GO:0005129,function,1,399
643,ciliary neurotrophic factor-mediated signaling pathway,PF01110,GO:0070120,process,1,400
682,cyclin-dependent protein serine/threonine kinase regulator activity,PF01111,GO:0016538,function,1,401
35,4-hydroxy-tetrahydrodipicolinate reductase,PF01113,GO:0008839,function,2,402
741,digestion,PF01114,GO:0007586,process,2,403
153,F-actin capping protein complex,PF01115,GO:0008290,component,2,404
393,aldehyde-lyase activity,PF01116,GO:0016832,function,3,405
1421,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",PF01118,GO:0016620,function,3,406
403,alpha-L-fucosidase activity,PF01120,GO:0004560,function,1,407
736,dephospho-CoA kinase activity,PF01121,GO:0004140,function,1,408
655,cobalamin transport,PF01122,GO:0015889,process,1,409
2066,toxin activity,PF01123,GO:0090729,function,13,410
1369,nucleus,PF01125,GO:0005634,component,149,411
932,heme oxygenase (decyclizing) activity,PF01126,GO:0004392,function,1,412
693,cytidylyltransferase activity,PF01128,GO:0070567,function,1,413
229,NAD+-protein-arginine ADP-ribosyltransferase activity,PF01129,GO:0106274,function,2,414
129,DNA topoisomerase activity,PF01131,GO:0003916,function,5,415
